	layer_id	name	D	Lambda	M	N	alpha	alpha_weighted	best_fit	bulk_mean_loc_ratio	bulk_mean_part_ratio	bulk_mean_vec_entropy	bulk_var_loc_ratio	bulk_var_part_ratio	bulk_var_vec_entropy	entropy	has_esd	lambda_max	layer_type	log_alpha_norm	log_norm	log_spectral_norm	matrix_rank	norm	num_evals	num_pl_spikes	rank_loss	rf	sigma	spectral_norm	stable_rank	sv_max	tail_mean_loc_ratio	tail_mean_part_ratio	tail_mean_vec_entropy	tail_var_loc_ratio	tail_var_part_ratio	tail_var_vec_entropy	warning	xmax	xmin
30	77		0.1291553931701358	-1.0	128.0	256.0	3.770272734588651	2.6998590767428117	lognormal	36.38972691202284	2.56830686856813	3.9520715133467763	23.94245711282272	0.007311944629844641	0.006622862784349033	0.9358096193407993	1.0	5.201051890420342	LAYER_TYPE.CONV2D	4.048092488785326	2.99530894292979	0.7160911867128824	1152.0	989.256569271324	1152.0	148.0	0.0	9.0	0.22771501606300856	5.201051890420342	190.20317238007283	2.2805814807676446	36.78582625143761	2.576571915206236	3.955504215247769	19.210119495873247	0.00652032075681397	0.006859182088829385	success	5.201051890420342	1.8720683172473351
31	79		0.12730518987339012	-1.0	64.0	128.0	4.606184435376296	2.101298783110144	truncated_power_law	20.07584306531226	2.177106179804814	3.678714182334247	8.324346095615475	0.008733189543739112	0.007180306876787274	0.93468172564818	1.0	2.8588459972934626	LAYER_TYPE.CONV2D	3.0207352996250085	2.461082657084	0.45619076104981926	576.0	289.12301032845	576.0	55.0	0.0	9.0	0.4862578100695566	2.8588459972934626	101.1327684674759	1.6908122300520134	19.726357589026065	2.1685119330186096	3.6695914607251585	10.413114090767492	0.012149967951824006	0.00700582119903819	success	2.8588459972934626	1.246318568627644
32	81		0.11280649408701571	-1.0	64.0	64.0	3.4077029182589236	0.9914467492020231	truncated_power_law	19.941057331311757	2.1768529030704125	3.681854114636087	8.920176287216787	0.00890229303643981	0.006611918971271893	0.8907744964340887	1.0	1.9540822300750673	LAYER_TYPE.CONV2D	2.002358819986243	2.1480864320793067	0.290942835389118	576.0	140.63273796427623	576.0	80.0	0.0	9.0	0.2691893697425786	1.9540822300750673	71.96868985338132	1.3978849130293478	18.823806302616706	2.1362257716930353	3.656331371004916	9.115720996808786	0.013401207720535647	0.007922921351151737	success	1.9540822300750673	0.5650637967282168
33	84		0.11646523812117615	-1.0	128.0	256.0	3.4713871266831986	2.703507906874506	lognormal	36.526952949287164	2.5682624756845054	3.9552852200970436	23.307056310175028	0.007699801836749102	0.007213352688107224	0.9298006802665382	1.0	6.008936074703622	LAYER_TYPE.CONV2D	3.9434878197299	2.982081622784129	0.7787975838516238	1152.0	959.5809614837073	1152.0	168.0	0.0	9.0	0.19067165635020317	6.008936074703622	159.6923231590605	2.451313132731847	36.66862280865747	2.5700532237527782	3.952417007135726	23.982266775541365	0.00891481075584801	0.008235709996995647	success	6.008936074703622	1.7177328880551006
34	86		0.13818537867853076	-1.0	64.0	128.0	4.358219113307313	1.59127041672232	lognormal	19.88035049750253	2.1729181977862155	3.674585714474856	9.135722224247576	0.009083841956858914	0.0068321499334383536	0.9341937565262434	1.0	2.318031940270864	LAYER_TYPE.CONV2D	2.7057593133234223	2.4160237764426578	0.36511941583284824	576.0	260.62962337290855	576.0	73.0	0.0	9.0	0.3930498175574603	2.318031940270864	112.4357343162639	1.5225084368471866	20.208789710231486	2.181138855415168	3.670371335522197	8.4825250169221	0.008905745402160343	0.007426947272901244	success	2.318031940270864	1.015064910528186
35	88		0.16706344766304781	-1.0	64.0	64.0	4.849788627316496	0.649541542820649	lognormal	20.010074584050678	2.1737547332590017	3.676343438545552	8.626404184167994	0.008258262211075824	0.007649417583182504	0.9001129637683087	1.0	1.361231305224428	LAYER_TYPE.CONV2D	1.7054769218767991	2.119480366030638	0.1339319283240713	576.0	131.66803857236928	576.0	51.0	0.0	9.0	0.5390782342548819	1.361231305224428	96.72716023134731	1.1667181772923692	19.49035469589478	2.1626815361111604	3.6613023840230867	10.512087609255623	0.011237812203012114	0.007449530301587174	success	1.361231305224428	0.6932396488331259
36	91		0.13794642820129627	-1.0	128.0	256.0	2.9602819403831497	2.0734402100764084	lognormal	36.39643983923923	2.5665166190709794	3.952953764764013	20.886630206574207	0.00676984325466031	0.006749446511588043	0.9338199886215836	1.0	5.016719770216123	LAYER_TYPE.CONV2D	3.622335470186663	2.979677003174732	0.7004198423775956	1152.0	954.2825956583105	1152.0	261.0	0.0	9.0	0.12133840594727215	5.016719770216123	190.2204307531412	2.239803511519732	36.72315293528597	2.5707016695991145	3.9599978893588235	18.053384557528357	0.006157054366220372	0.006476640957853283	success	5.016719770216123	1.2294924433960708
37	93		0.1428571428571468	-1.0	64.0	128.0	19.33981331754479	7.240860676666531	truncated_power_law	20.007225261040226	2.17263026907797	3.6718965299004345	8.413181526354625	0.00891657196250116	0.007166147847939744	0.9347401599660818	1.0	2.3681095408732658	LAYER_TYPE.CONV2D	7.439743412552559	2.4277002586549847	0.3744017875342018	576.0	267.7319854513052	576.0	7.0	0.0	9.0	6.931797875653424	2.3681095408732658	113.05726396109877	1.5388663167648013	20.572098124679673	2.1783910083378837	3.6706042558086374	11.408596148295162	0.01069393469760004	0.007308332491536541	under-trained	2.3681095408732658	1.9900944945075325
38	95		0.15618642625706652	-1.0	64.0	64.0	3.1386706854096182	0.46822354261291654	lognormal	20.127031732900555	2.1784438480941746	3.6813942779611564	9.297877307396508	0.00981263129288412	0.006681392640788715	0.8907623283451759	1.0	1.409869555639111	LAYER_TYPE.CONV2D	1.7659623314637378	2.098081793628323	0.1491789325938188	576.0	125.3377209753139	576.0	103.0	0.0	9.0	0.21072948426857932	1.409869555639111	88.90022518324172	1.1873792804488004	19.902507020373413	2.1723152133111356	3.6766653739932935	9.389068289388502	0.010025913991760354	0.006408433642352825	success	1.409869555639111	0.4313334900703034
39	98		0.11579133617525622	-1.0	128.0	256.0	3.52490689993639	2.7972136110121975	lognormal	36.56617807685689	2.5708084968986973	3.9543962020544416	22.818094345355174	0.0073541062356219785	0.007132332338788734	0.9315059367547748	1.0	6.216654551906736	LAYER_TYPE.CONV2D	4.010956916650577	2.999254569539457	0.7935567350906986	1152.0	998.2850551350389	1152.0	158.0	0.0	9.0	0.2008708076109956	6.216654551906736	160.58235933808655	2.493321991221097	36.1858494068789	2.561763267345226	3.9465730179756853	24.999450294146023	0.010265313090220676	0.008344697720518402	success	6.216654551906736	1.8281127811974276
